workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
04E_tml_cv_baseline_linear_svm,Linear SVM model,iteration=10000,130.9025238,0.529529462,0.527338689,9048.8,5742.6,7937.6,5204.1,6/4/2021 21:28
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=90, max_depth=16, splitter=best, max_feature=sqrt",188.5688819,0.52841252,0.527101817,8490.6,6269.6,7410.6,5762.3,7/4/2021 3:06
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=liblinear, iteration=1000",128.3140471,0.529661925,0.527381833,9116.4,5678.7,8001.5,5136.5,6/4/2021 15:09
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=130, max_depth=16, splitter=random, max_feature=None",155.008756,0.527317048,0.526204443,8262.9,6466.7,7213.5,5990,7/4/2021 3:19
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=130, max_depth=16, splitter=random, max_feature=log2",25.05790736,0.511547219,0.504784305,12130.4,2158.7,11521.5,2122.5,7/4/2021 3:19
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=liblinear, iteration=10000",128.3140471,0.529661925,0.527381833,9116.4,5678.7,8001.5,5136.5,6/4/2021 15:11
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=sag, iteration=100",128.3082667,0.529651186,0.52737136,9116.1,5678.7,8001.5,5136.8,6/4/2021 15:16
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=best, max_feature=sqrt",166.0434942,0.525365972,0.525098435,7664.6,7010.5,6669.7,6588.3,7/4/2021 3:24
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=sag, iteration=1000",128.2995693,0.529647606,0.527367694,9116.1,5678.6,8001.6,5136.8,6/4/2021 15:21
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=90, iteration=1000",98.39010893,0.523944692,0.522240029,8668.8,5966.6,7713.6,5584.1,7/4/2021 4:02
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=sag, iteration=10000",128.3278999,0.529654766,0.527374858,9116.2,5678.7,8001.5,5136.7,6/4/2021 15:25
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=saga, iteration=100",129.5331815,0.529633286,0.527350376,9118.1,5676.2,8004,5134.8,6/4/2021 15:32
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=90, iteration=500",105.8750489,0.517389737,0.516532048,7954.1,6498.2,7182,6298.8,6/4/2021 21:14
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=saga, iteration=1000",129.2513782,0.529676245,0.527395762,9116.9,5678.6,8001.6,5136,6/4/2021 15:41
