workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=lbfgs, iteration=1000",129.4371491,0.530725177,5163,0.528505667,9089.9,5734.9,7945.3,6/4/2021 18:20
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=lbfgs, iteration=10000",129.4371491,0.530725177,5163,0.528505667,9089.9,5734.9,7945.3,6/4/2021 18:22
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=liblinear, iteration=100",129.8161531,0.530735915,5163,0.528516816,9089.9,5735.2,7945,6/4/2021 16:00
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=best, max_feature=None",172.4476048,0.528917285,5638.5,0.527441426,8614.4,6159.9,7520.3,6/4/2021 14:55
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=best, max_feature=sqrt",112.3187299,0.52371916,5495.7,0.522040348,8757.2,5871.9,7808.3,6/4/2021 14:56
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=best, max_feature=log2",92.99446726,0.52162128,5129.1,0.519007773,9123.8,5446.7,8233.5,6/4/2021 14:56
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=random, max_feature=None",88.52143236,0.522562825,4639.2,0.519242084,9613.7,4983.1,8697.1,6/4/2021 14:56
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=random, max_feature=sqrt",28.0973132,0.512134329,1555.6,0.504211196,12697.3,1608.2,12072,6/4/2021 14:56
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=8, splitter=random, max_feature=log2",12.97292847,0.511747693,885.1,0.502790715,13367.8,926.9,12753.3,6/4/2021 14:57
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=liblinear, iteration=1000",129.8161531,0.530735915,5163,0.528516816,9089.9,5735.2,7945,6/4/2021 16:04
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=liblinear, iteration=10000",129.8161531,0.530735915,5163,0.528516816,9089.9,5735.2,7945,6/4/2021 16:09
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=sag, iteration=100",126.8318907,0.530610616,5163.6,0.528391172,9089.3,5732.3,7947.9,6/4/2021 16:16
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=sag, iteration=1000",129.7112226,0.530725176,5162.8,0.528505715,9090.1,5734.7,7945.5,6/4/2021 16:36
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=best, max_feature=None",263.184616,0.533721639,5918.7,0.532711869,8334.2,6574.3,7105.9,6/4/2021 15:03
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=sag, iteration=10000",129.7112226,0.530725176,5162.8,0.528505715,9090.1,5734.7,7945.5,7/4/2021 3:44
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=best, max_feature=sqrt",158.545536,0.527044969,6053.4,0.526027797,8199.5,6522.5,7157.7,6/4/2021 15:04
